T_K,P_atm,solver_used,iterations,residual_norm,n_Ar,n_Ar_p,n_Ar2_p,n_Ar3_p,n_Ar4_p,n_e,charge_residual,eos_residual_Pa,deltaP_DH_Pa
9700.0,4.0,custom_newton,4,2.3715189581296042e-14,2.981996681880021e+24,2.238522677066923e+22,32497425285079.27,0.002283870092686048,9.137329719465884e-29,2.238522683566405e+22,-29360128.0,2.9103830456733704e-09,53.592832032905726
9900.0,4.0,custom_newton,4,3.479991907939279e-14,2.911371641671071e+24,2.7188042682562005e+22,65544873291317.05,0.010495106293374768,1.503556019082067e-27,2.7188042813651705e+22,-46137344.0,5.878973752260208e-09,71.0067517657434
10100.0,4.0,custom_newton,4,2.4072772727289167e-14,2.8416616605373734e+24,3.2757963334731084e+22,128667916791137.11,0.04548931913679448,2.2199804853932813e-26,3.2757963592067006e+22,88080384.0,6.2282197177410126e-09,92.97474237287746
10300.0,4.0,custom_newton,4,3.407494585594325e-14,2.772580721909118e+24,3.916976816392303e+22,246219466288058.22,0.18661097139353408,2.9600131272618134e-25,3.916976865636183e+22,-134217728.0,1.0884832590818405e-08,120.38107733591666
10500.0,4.0,custom_newton,4,4.8247282977819345e-14,2.703853872940677e+24,4.649824546095727e+22,459962440994844.1,0.7268708284752912,3.585366088709667e-24,4.649824638088238e+22,226492416.0,1.2631062418222427e-08,154.2092917619579
10700.0,4.0,custom_newton,4,5.1652422362744963e-14,2.635218641021181e+24,5.481695153272033e+22,839944920535801.5,2.696227605918443,3.967011515429523e-23,5.481695321261024e+22,75497472.0,1.816079020500183e-08,195.53782728523404
10900.0,4.0,custom_newton,4,6.432819147446653e-14,2.566426859861617e+24,6.419680996232023e+22,1501225223915314.0,9.550610137794518,4.0300439292393276e-22,6.419681296477074e+22,58720256.0,2.584420144557953e-08,245.53154274500798
11100.0,4.0,custom_newton,4,8.935441247445734e-14,2.497246883312021e+24,7.470455421013778e+22,2629099611011903.0,32.388764537406594,3.776989426713948e-21,7.4704559468336845e+22,-159383552.0,3.562308847904205e-08,305.4284732506588
11300.0,4.0,custom_newton,4,1.2256789736314506e-13,2.427466157654392e+24,8.640102176729413e+22,4516465546944399.0,105.41069221137434,3.280239366891481e-20,8.640103080022526e+22,33554432.0,4.848698154091835e-08,376.5212763182681
11500.0,4.0,custom_newton,4,1.6476159775022664e-13,2.3568941132566873e+24,9.933931420694175e+22,7618211268182891.0,329.9679875352761,2.650918032344194e-19,9.933932944336413e+22,-150994944.0,6.641494110226631e-08,460.13290336388985
