T_K,Q_Ar,Q_Ar_p,Q_Ar2_p,Q_Ar3_p,Q_Ar4_p,Q_e
21900.000000,1.6926223565608447e+00,5.8401526695698376e+00,1.0803591706452353e+01,7.0982573763534349e+00,1.0051916954430487e+01,2.0000000000000000e+00
22100.000000,1.7446999193485879e+00,5.8435763653064567e+00,1.0825912939532660e+01,7.1429333450103600e+00,1.0078564164609093e+01,2.0000000000000000e+00
22300.000000,1.7996678756021076e+00,5.8471200078434835e+00,1.0848075755682967e+01,7.1874928657305599e+00,1.0105027260904844e+01,2.0000000000000000e+00
22500.000000,1.8576223213611611e+00,5.8507931199110033e+00,1.0870085012013909e+01,7.2319336509790633e+00,1.0131310937161160e+01,2.0000000000000000e+00
22700.000000,1.9186596212816667e+00,5.8546055626776541e+00,1.0891945591528968e+01,7.2762536229977757e+00,1.0157419817146129e+01,2.0000000000000000e+00
22900.000000,1.9828763178795263e+00,5.8585675422676129e+00,1.0913662402941160e+01,7.3204509059930247e+00,1.0183358455447879e+01,2.0000000000000000e+00
23100.000000,2.0503690421600744e+00,5.8626896159262003e+00,1.0935240380466654e+01,7.3645238185765241e+00,1.0209131338342385e+01,2.0000000000000000e+00
23300.000000,2.1212344257874620e+00,5.8669826978247723e+00,1.0956684483593358e+01,7.4084708664529941e+00,1.0234742884636278e+01,2.0000000000000000e+00
23500.000000,2.1955690149352756e+00,5.8714580644962906e+00,1.0977999696823618e+01,7.4522907353473276e+00,1.0260197446487258e+01,2.0000000000000000e+00
23700.000000,2.2734691859472140e+00,5.8761273598934567e+00,1.0999191029390079e+01,7.4959822841645911e+00,1.0285499310204585e+01,2.0000000000000000e+00
23900.000000,2.3550310629242794e+00,5.8810026000623861e+00,1.1020263514943638e+01,7.5395445383759565e+00,1.0310652697031497e+01,2.0000000000000000e+00
24100.000000,2.4403504373431946e+00,5.8860961774248262e+00,1.1041222211213324e+01,7.5829766836238415e+00,1.0335661763911615e+01,2.0000000000000000e+00
24300.000000,2.5295226897991436e+00,5.8914208646633632e+00,1.1062072199637370e+01,7.6262780595396436e+00,1.0360530604240887e+01,2.0000000000000000e+00
24500.000000,2.6226427139550132e+00,5.8969898182045393e+00,1.1082818584965329e+01,7.6694481537675419e+00,1.0385263248606719e+01,2.0000000000000000e+00
24700.000000,2.7198048427687085e+00,5.9028165812955100e+00,1.1103466494831300e+01,7.7124865961879090e+00,1.0409863665515442e+01,2.0000000000000000e+00
24900.000000,2.8211027770598296e+00,5.9089150866706328e+00,1.1124021079298080e+01,7.7553931533340936e+00,1.0434335762109535e+01,2.0000000000000000e+00
25100.000000,2.9266295164676257e+00,5.9152996588056670e+00,1.1144487510372555e+01,7.7981677229963973e+00,1.0458683384875551e+01,2.0000000000000000e+00
25300.000000,3.0364772928426520e+00,5.9219850157573326e+00,1.1164870981492669e+01,7.8408103290072519e+00,1.0482910320343679e+01,2.0000000000000000e+00
25500.000000,3.1507375061060188e+00,5.9289862705873571e+00,1.1185176706986109e+01,7.8833211162016088e+00,1.0507020295779911e+01,2.0000000000000000e+00
25700.000000,3.2695006626018328e+00,5.9363189323706713e+00,1.1205409921501559e+01,7.9257003455470310e+00,1.0531016979871346e+01,2.0000000000000000e+00
25900.000000,3.3928563159606586e+00,5.9439989067882193e+00,1.1225575879412869e+01,7.9679483894376792e+00,1.0554903983405545e+01,2.0000000000000000e+00
26100.000000,3.5208930104845320e+00,5.9520424963057454e+00,1.1245679854196780e+01,8.0100657271468787e+00,1.0578684859944216e+01,2.0000000000000000e+00
26300.000000,3.6536982270572955e+00,5.9604663999405263e+00,1.1265727137785060e+01,8.0520529404330006e+00,1.0602363106491937e+01,2.0000000000000000e+00
26500.000000,3.7913583315774435e+00,5.9692877126189021e+00,1.1285723039891812e+01,8.0939107092933824e+00,1.0625942164160289e+01,2.0000000000000000e+00
26700.000000,3.9339585259049565e+00,5.9785239241279280e+00,1.1305672887316602e+01,8.1356398078615424e+00,1.0649425418827589e+01,2.0000000000000000e+00
26900.000000,4.0815828013079543e+00,5.9881929176656792e+00,1.1325582023224683e+01,8.1772411004426289e+00,1.0672816201794769e+01,2.0000000000000000e+00
27100.000000,4.2343138943898566e+00,5.9983129679946350e+00,1.1345455806404811e+01,8.2187155376824670e+00,1.0696117790437546e+01,2.0000000000000000e+00
27300.000000,4.3922332454731956e+00,6.0089027392040943e+00,1.1365299610505922e+01,8.2600641528658585e+00,1.0719333408854961e+01,2.0000000000000000e+00
